id,river,location,province,latitude,longitude,source
KK01,แม่น้ำกก,สะพานท่าตอน ต.ท่าตอน อ.แม่อาย,เชียงใหม่,20.061094,99.362002,pcdnew-2026-04-08_06-35-40_710804.pdf
KK02,แม่น้ำกก,สะพานมิตรภาพแม่นาวาง-ท่าตอน ต.ท่าตอน อ.แม่อาย,เชียงใหม่,20.047791,99.4049339,pcdnew-2026-04-08_06-35-40_710804.pdf
KK05,แม่น้ำกก,สะพานมิตรภาพแม่ยาว-ดอยฮาง ต.ดอยฮาง อ.เมือง,เชียงราย,19.9583819,99.699078,pcdnew-2026-04-08_06-35-40_710804.pdf
KK07,แม่น้ำกก,สะพานข้ามแม่น้ำกก ต.ดอยฮาง อ.เมือง,เชียงราย,19.9122599,99.781737,pcdnew-2026-04-08_06-35-40_710804.pdf
KK09,แม่น้ำกก,สะพานเฉลิมพระเกียรติ 1 อ.เมือง,เชียงราย,19.9247359,99.8624651,pcdnew-2026-04-08_06-35-40_710804.pdf
KK10,แม่น้ำกก,ฝายเชียงราย ต.รอบเวียง อ.เมือง,เชียงราย,19.925784,99.8970083,pcdnew-2026-04-08_06-35-40_710804.pdf
KK11,แม่น้ำกก,สะพานริมกก-เวียงเหนือรวมใจ ต.เวียงเหนือ อ.เวียงชัย,เชียงราย,19.96052,99.94629,pcdnew-2026-04-08_06-35-40_710804.pdf
KK12,แม่น้ำกก,สะพานโยนกนาคนคร ต.แม่ข้าวต้ม อ.เมือง,เชียงราย,20.0336883,99.9637903,pcdnew-2026-04-08_06-35-40_710804.pdf
KK15,แม่น้ำกก,ต.บ้านแซว อ.เชียงแสน,เชียงราย,20.2271399,100.1291002,pcdnew-2026-04-08_06-35-40_710804.pdf
FA01,แม่น้ำฝาง,ต.มะลิกา อ.แม่อาย,เชียงใหม่,20.0209934,99.3538415,pcdnew-2026-04-08_06-35-40_710804.pdf
KO01,แม่น้ำกรณ์,ต.ท่าสาย อ.เมือง,เชียงราย,19.8804804,99.8305029,pcdnew-2026-04-08_06-35-40_710804.pdf
LA01,แม่น้ำลาว,ต.เวียงชัย อ.เวียงชัย,เชียงราย,19.8790354,99.8892302,pcdnew-2026-04-08_06-35-40_710804.pdf
SA01,แม่น้ำสาย,บ้านหัวฝาย ต.แม่สาย อ.แม่สาย,เชียงราย,20.443851,99.874161,pcdnew-2026-04-08_06-35-40_710804.pdf
SA02,แม่น้ำสาย,สะพานมิตรภาพแม่น้ำสายแห่งที่ 2 ต.แม่สาย อ.แม่สาย,เชียงราย,20.4485278,99.9046667,pcdnew-2026-04-08_06-35-40_710804.pdf
SA03,แม่น้ำสาย,บ้านป่าซางงาม ม.6 ต.เกาะช้าง อ.แม่สาย,เชียงราย,20.460637,99.95104,pcdnew-2026-04-08_06-35-40_710804.pdf
NK01,แม่น้ำโขง,จุดผ่านแดนถาวรสามเหลี่ยมทองคำ (บ้านสบรวก) ต.เวียง อ.เชียงแสน,เชียงราย,20.3449038,100.0846274,pcdnew-2026-04-08_06-35-40_710804.pdf
NK02,แม่น้ำโขง,ต.เวียง อ.เชียงแสน (จุดสูบน้ำประปาส่วนภูมิภาค สาขาแม่สาย),เชียงราย,20.2813111,100.0881586,pcdnew-2026-04-08_06-35-40_710804.pdf
NK03,แม่น้ำโขง,บ้านสบกก ต.บ้านแซว อ.เชียงแสน,เชียงราย,20.2558231,100.1787482,pcdnew-2026-04-08_06-35-40_710804.pdf
RU01,แม่น้ำรวก,สถานีสูบน้ำเกาะช้าง การประปาส่วนภูมิภาค สาขาแม่สาย,เชียงราย,20.4537562,99.9678833,pcdnew-2026-04-08_06-35-40_710804.pdf
RU02,แม่น้ำรวก,ต.เวียง อ.เชียงแสน (จุดปลายแม่น้ำรวก),เชียงราย,20.3556721,100.0812816,pcdnew-2026-04-08_06-35-40_710804.pdf
